source_mat_id_orig,source_mat_id,seq_batch,sea_surf_temp,sea_surf_temp_method,ph,ph_method,sediment_temp,sediment_temp_method,redox_potential,redox_potential_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,chlorophyll,chlorophyll_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,diss_oxygen,diss_oxygen_method,magnesium,magnesium_method,methane,methane_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,oxy_stat_samp,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,particle_class,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,porosity,pressure,pressure_method,sea_surf_salinity,sea_surf_salinity_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,water_current,water_current_method
EMO BON RFormosa SO 210805 micro(1),EMOBON_RFormosa_So_1,batch_1,26.3,Thermo scientific  orion star A221,7.9,Thermo scientific  orion star A221,24,Thermo scientific  orion star A221,-101.7,Thermo scientific  orion star A221,,,,,,,,,,21.69,Fluorometer 10-AU,,,,,,,,,271.875,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998766,YSI ProSolo Digital,38.03,YSI ProSolo Digital,,,,,,,,
EMO BON RFormosa SO 210805 micro(2),EMOBON_RFormosa_So_2,batch_1,26.3,Thermo scientific  orion star A221,7.9,Thermo scientific  orion star A221,24,Thermo scientific  orion star A221,-101.7,Thermo scientific  orion star A221,,,,,,,,,,21.69,Fluorometer 10-AU,,,,,,,,,271.875,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998766,YSI ProSolo Digital,38.03,YSI ProSolo Digital,,,,,,,,
EMO BON RFormosa SO 210805 micro(3),EMOBON_RFormosa_So_3,NA,26.3,Thermo scientific  orion star A221,7.9,Thermo scientific  orion star A221,24,Thermo scientific  orion star A221,-101.7,Thermo scientific  orion star A221,,,,,,,,,,21.69,Fluorometer 10-AU,,,,,,,,,271.875,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998766,YSI ProSolo Digital,38.03,YSI ProSolo Digital,,,,,,,,
EMO BON RFormosa SO 210805 micro(4),EMOBON_RFormosa_So_4,NA,26.3,Thermo scientific  orion star A221,7.9,Thermo scientific  orion star A221,24,Thermo scientific  orion star A221,-101.7,Thermo scientific  orion star A221,,,,,,,,,,21.69,Fluorometer 10-AU,,,,,,,,,271.875,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998766,YSI ProSolo Digital,38.03,YSI ProSolo Digital,,,,,,,,
EMO BON RFormosa SO 210805 blank,EMOBON_RFormosa_So_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,NA,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,
EMO BON RFormosa SO 211022 micro(1),EMOBON_RFormosa_So_6,batch_2,19.3,Thermo scientific  orion star A221,8,Thermo scientific  orion star A221,20,Thermo scientific  orion star A221,-88,Thermo scientific  orion star A221,,,,,,,,,,8.8688,Fluorometer 10-AU,,,,,,,,,218.75,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00528,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,
EMO BON RFormosa SO 211022 micro(2),EMOBON_RFormosa_So_7,batch_2,19.3,Thermo scientific  orion star A221,8,Thermo scientific  orion star A221,20,Thermo scientific  orion star A221,-88,Thermo scientific  orion star A221,,,,,,,,,,8.8688,Fluorometer 10-AU,,,,,,,,,218.75,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00528,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,
EMO BON RFormosa SO 211022 micro(3),EMOBON_RFormosa_So_8,NA,19.3,Thermo scientific  orion star A221,8,Thermo scientific  orion star A221,20,Thermo scientific  orion star A221,-88,Thermo scientific  orion star A221,,,,,,,,,,8.8688,Fluorometer 10-AU,,,,,,,,,218.75,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00528,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,
EMO BON RFormosa SO 211022 micro(4),EMOBON_RFormosa_So_9,NA,19.3,Thermo scientific  orion star A221,8,Thermo scientific  orion star A221,20,Thermo scientific  orion star A221,-88,Thermo scientific  orion star A221,,,,,,,,,,8.8688,Fluorometer 10-AU,,,,,,,,,218.75,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00528,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,
EMO BON RFormosa SO 211022 blank,EMOBON_RFormosa_So_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,NA,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,
